include,name,suggested_category,longitude,latitude,address,website,source,source_id,reason
,.,,-73.9814603,40.765029,,,OpenStreetMap,node/11385016367,Requires manual review
,1199 SEIU Funds,,-74.1453778,40.6251523,,,OpenStreetMap,node/10759848847,Requires manual review
,122 Community Center Inc.,,-73.984785,40.728261,"150 First Avenue, New York, 10009",,NYC DCLA,dcla-row-2,Requires manual review
,123 Dry Cleaner & Tailoring,,-74.0003078,40.6127731,7807 17th Avenue,,OpenStreetMap,node/5853859977,Requires manual review
,125 Newbury,,-74.0027752,40.7185831,395 Broadway,https://125newbury.com/,OpenStreetMap,node/13682884531,Requires manual review
,125th Street Library,,-73.9348516,40.8030185,224 East 125th Street,https://www.nypl.org/locations/125th-street,OpenStreetMap,way/271605663,Requires manual review
,"1687, Inc.",,-74.002288,40.735031,"29 Charles Street #6F, New York, 10014",,NYC DCLA,dcla-row-4,Requires manual review
,17 Frost Gallery,,-73.9513839,40.7175806,17 Frost Street,https://www.17frost.com/,OpenStreetMap,node/6217127467,Design-related museum or gallery
,18 Mai Committee,,-73.958419,40.669459,"832 Franklin Avenue, PMB337, Brooklyn, 11225",,NYC DCLA,dcla-row-5,Requires manual review
,186f Kepler,,-73.9971521,40.7167838,171 Canal Street,,OpenStreetMap,node/6318314034,Requires manual review
,20/20 Vision for Schools,,-73.976059,40.725251,"428 East 10th Street, New York, 10009",,NYC DCLA,dcla-row-6,Requires manual review
,2020 Incubator LLC,,-73.964853,40.683468,"499 Washington Avenue, New York, 11238",,NYC DCLA,dcla-row-7,Requires manual review
,24 Hour Company,,-73.991303,40.687071,"51 Bergen Street, Brooklyn, 11201",,NYC DCLA,dcla-row-8,Requires manual review
,"3 Graces Theater Co., Inc.",,-73.942567,40.809045,"56 West 128th Street, New York, 10027",,NYC DCLA,dcla-row-9,Requires manual review
,303 Gallery,,-74.0075391,40.7475429,555 West 21st Street,https://www.303gallery.com,OpenStreetMap,node/8062794938,Requires manual review
,310 Art,,-73.9885562,40.6882094,,https://www.gallerykooy.com,OpenStreetMap,node/10128879471,Design-related museum or gallery
,328 Laundromat,,-73.973393,40.6455135,,,OpenStreetMap,node/8713314335,Requires manual review
,3CEasy,,-73.7889671,40.7398701,,,OpenStreetMap,node/11422171418,Requires manual review
,3rd Avenue Clay,,-73.9899789,40.6729742,,,OpenStreetMap,node/6332084466,OpenStreetMap craft/workshop tag
,"42nd Street Workshop, Inc.",,-73.994781,40.750393,"421 Eighth Avenue, New York, 10116",,NYC DCLA,dcla-row-10,Requires manual review
,43 & 43 Cleaners,,-73.9215979,40.7451526,42-16 43rd Avenue,,OpenStreetMap,node/2845010842,Requires manual review
,440 Gallery,,-73.9843548,40.6677841,,https://440gallery.com,OpenStreetMap,node/5706241704,Requires manual review
,490 Atlantic,,-73.9820567,40.6856808,,https://490atlantic.com,OpenStreetMap,node/10710987382,Requires manual review
,4A AMERICAN ALLIANCE OF ARTISTS AND AUDIENCES INC,,-74.007156,40.705,"99 Wall Street Frnt 1, New York, 10005",,NYC DCLA,dcla-row-11,Requires manual review
,"4heads, Inc.",,-73.959415,40.67922,"1022 Pacific St., Brooklyn, 11238",,NYC DCLA,dcla-row-12,Requires manual review
,4th Avenue Cleaners,,-73.979491,40.6822571,,,OpenStreetMap,node/5624602914,Requires manual review
,4th Floor Studios,,-73.9218209,40.7044275,349 Suydam Street,https://www.4thfloorbrooklyn.com/,OpenStreetMap,way/925402925,OpenStreetMap arts-centre tag
,"52nd Street Project, Inc.",,-73.990365,40.766661,"789 Tenth Avenue, New York, 10019",,NYC DCLA,dcla-row-13,Requires manual review
,532 Gallery Thomas Jaeckel,,-74.0047674,40.7495009,,https://www.532gallery.com,OpenStreetMap,node/10859974150,Requires manual review
,58th Street Library,,-73.9691028,40.7619839,127 East 58th Street,https://www.nypl.org/locations/58th-street,OpenStreetMap,node/2613889033,Requires manual review
,651 ARTS,,-73.9783857,40.6863972,10 Lafayette Avenue,https://www.651arts.org,OpenStreetMap,node/13695739588,OpenStreetMap arts-centre tag
,67th Street Library,,-73.9595495,40.7649116,328 East 67th Street,https://www.nypl.org/locations/67th-street,OpenStreetMap,way/266871312,Requires manual review
,78th Precint Youth Council,,-73.9760636,40.6729355,774 Carroll Street,https://78pyc.org,OpenStreetMap,node/6069483242,Requires manual review
,81 Leonard Gallery,,-74.0049014,40.7174539,,https://www.81leonardgallery.com,OpenStreetMap,node/8060623707,Requires manual review
,826NYC,,-73.9847277,40.6714103,,https://826nyc.org,OpenStreetMap,node/9200018580,Requires manual review
,"826NYC, Inc.",,-73.984492,40.671365,"372 Fifth Avenue, Brooklyn, 11215",,NYC DCLA,dcla-row-14,Requires manual review
,85 Custom Tailor,,-73.9532915,40.7775152,226 East 85th Street,,OpenStreetMap,node/11001137270,Requires manual review
,8th Green Cleaners,,-73.9809328,40.6639218,1202 8th Avenue,,OpenStreetMap,node/2568698360,Requires manual review
,9/11 Memorial & Museum,,-74.0127418,40.711456,180 Greenwich Street,https://www.911memorial.org/,OpenStreetMap,way/278033604,Design-related museum or gallery
,"92nd Street Y, New York",,-73.9527658,40.7830439,1395 Lexington Avenue,https://www.92ny.org/,OpenStreetMap,node/3729655969,OpenStreetMap arts-centre tag
,96th Street Library,,-73.9518083,40.7859577,112 East 96th Street,https://www.nypl.org/locations/96th-street,OpenStreetMap,way/266924969,Requires manual review
,99 St Cleaners,,-74.0332106,40.6136372,,,OpenStreetMap,node/2552509947,Requires manual review
,99¢ Gi Gi 6832 Trading,,-74.0261418,40.6359527,,,OpenStreetMap,node/9779751309,Requires manual review
,9th & Smith Studio,,-73.995161,40.6743426,59D 9th Street,https://www.9bkstudio.com,OpenStreetMap,node/6436656509,OpenStreetMap craft/workshop tag
,9th Street Glass & Signs,,-73.9924001,40.67187,160 9th Street,,OpenStreetMap,way/248171270,Requires manual review
,A & C Stainless Steel,,-74.0011021,40.6601329,,https://www.ancstainless.com,OpenStreetMap,node/7070066917,Requires manual review
,A & R Energy,,-73.8689387,40.845234,1825 Unionport Road,,OpenStreetMap,node/9646711775,Requires manual review
,"A Better Jamaica, Inc.",,-73.771003,40.693113,"114-73 178th St, Jamaica, 11434",,NYC DCLA,dcla-row-20,Requires manual review
,A Blade of Grass Fund,,-73.980041,40.666155,"487 9th Street, #4, New York, 11215",,NYC DCLA,dcla-row-22,Requires manual review
,A Chance in Life,,-74.1192632,40.6342546,,,OpenStreetMap,node/12969610538,Requires manual review
,A Change of A Dress,,-73.9631027,40.7995318,101 West 106th Street,,OpenStreetMap,node/11538535381,Requires manual review
,A Plus Graphic,,-74.0210743,40.6344378,475 68th Street,https://aplusny.net,OpenStreetMap,node/2553164660,OpenStreetMap craft/workshop tag
,"A Public Space Literary Projects, Inc.",,-73.975298,40.732967,"601 East 20th Street, New York, 10010",,NYC DCLA,dcla-row-148,Requires manual review
,A Real Advantage Construction,,-73.7628452,40.6809438,178-16 Eveleth Road,https://www.arealadvantageconstruction.com/,OpenStreetMap,node/3510618402,Requires manual review
,A Taste of Honey Professional Catering,,-74.1748574,40.6035527,,,OpenStreetMap,node/12758109474,Requires manual review
,A#1 Universal Electrical,,-73.9848591,40.6594409,,,OpenStreetMap,node/2562039188,Requires manual review
,A&B Iron Works,,-74.0132145,40.6792866,142 Conover Street,http://ironworksny.com,OpenStreetMap,way/248169042,Requires manual review
,A&D Iron Works,,-73.9956409,40.6602301,305 24th Street,,OpenStreetMap,way/247930722,Requires manual review
,A&E Glass,,-74.2337829,40.5379752,,,OpenStreetMap,node/12456546127,Requires manual review
,A&S Caters Grill,,-74.1635841,40.6075593,,,OpenStreetMap,node/10310031542,Requires manual review
,A+ Jenny Dry Clean,,-73.9832862,40.7373319,,,OpenStreetMap,node/10585445254,Requires manual review
,a83,,-74.0026147,40.7215845,83 Grand Street,https://a83.site,OpenStreetMap,way/249664383,Requires manual review
,AAPI Services,,-74.0886897,40.606976,,,OpenStreetMap,node/13184510057,Requires manual review
,Aaron Davis Hall,,-73.9514195,40.8175291,,,OpenStreetMap,way/271892481,OpenStreetMap arts-centre tag
,ABC Cooperation,,-74.003227,40.753017,"545 West 30th Street, New York, 10001",,NYC DCLA,dcla-row-18,DCLA Architecture/Design discipline
,ABC No Rio,,-73.986122,40.718943,"107 Suffolk Street, New York, 10002",,NYC DCLA,dcla-row-19,Requires manual review
,ABC Siding,,-73.7726618,40.709755,186-14 Jamaica Avenue,,OpenStreetMap,node/7925479899,Requires manual review
,ABCO Locksmith,,-73.8430429,40.7193899,71-52 Austin Street,,OpenStreetMap,node/10739819910,Requires manual review
,Abe Art,,-73.9563203,40.6756787,660 Franklin Avenue,https://avantgardeabe.com,OpenStreetMap,node/10595145812,Design-related museum or gallery
,Abingdon Theatre Company,,-73.924507,40.763038,"31-57 31st St, Unit 617, Astoria, 11106",,NYC DCLA,dcla-row-21,Requires manual review
,Abraham Lincoln Brigade Archives,,-74.000873,40.739066,"239 W 14th street, New York, 10011",,NYC DCLA,dcla-row-24,Requires manual review
,"Abraham.In.Motion, Inc.",,-73.998546,40.74212,"219 West 19th Street, New York, 10011",,NYC DCLA,dcla-row-23,Requires manual review
,ABRI MARS,,-73.9851754,40.7202681,53a Stanton Street,,OpenStreetMap,node/12549884714,Requires manual review
,Abrons Arts Center,,-73.9837408,40.715245,466 Grand Street,https://www.abronsartscenter.org/,OpenStreetMap,node/368043384,OpenStreetMap arts-centre tag
,"AbunDance Academy of the Arts, Inc.",,-73.958544,40.664222,"90 Sullivan Place, Brooklyn, 11225",,NYC DCLA,dcla-row-25,Requires manual review
,"Abundant Waters, Inc.",,-73.992636,40.759302,"400 W.43rd St. #36G, New York, 10036",,NYC DCLA,dcla-row-26,Requires manual review
,ACA Galleries,,-74.0068474,40.7465429,529 West 20th Street,,OpenStreetMap,node/10873196749,Requires manual review
,Academy of American Poets,,-74.007758,40.707657,"75 Maiden Ln, New York, 10038",,NYC DCLA,dcla-row-27,Requires manual review
,"Academy of Bosnia and Herzegovina, Inc.",,-73.905506,40.757194,"55-23 31st Avenue, Woodside, 11377",,NYC DCLA,dcla-row-28,Requires manual review
,Access Theater,,-74.002958,40.718112,"380 Broadway Fourth Floor, New York, 10013",,NYC DCLA,dcla-row-29,Requires manual review
,Accurate Electrical Contractors Corp.,,-74.1176009,40.5728212,,,OpenStreetMap,node/13128789596,Requires manual review
